First Name,Last Name,Date of Birth,IdentificationNumber,Address,Phone Number,Checking Account Number,Savings Account Number,Credit Account Number,Checking Starting Balance,Savings Starting Balance,Credit Starting Balance
Mickey,Mouse,25-Apr-92,1,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1000,2000,3000,403.12,4479.46,-1653.84
Donald,Duck,7-Apr-94,2,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1001,2001,3001,1928.58,3582.37,-1513.57
Minnie,Mouse,3-Nov-94,3,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1002,2002,3002,1894.16,327.99,-239.31
Goofy,Disney,5-Mar-51,4,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1003,2003,3003,1456.69,884.26,-141.39
Pluto,Disney,20-Mar-37,5,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1004,2004,3004,1549.67,1622.73,-1289.68
Chip,Disney,25-Aug-05,6,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1005,2005,3005,32.84,3687.14,-1451.7
Dale,Disney,19-Aug-12,7,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1006,2006,3006,894.1,4091.61,-53.21
Cinderella,Disney,3-Mar-47,8,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1007,2007,3007,915.54,2977.94,-4.16
Ariel,Disney,15-Apr-70,9,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1008,2008,3008,1581.97,729.5,-1810.55
Jasmine,Disney,17-Nov-91,10,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1009,2009,3009,633.94,1087.1,-1797.38
Aladdin,Disney,11-Oct-28,11,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1010,2010,3010,140.78,3431.15,-1989.22
Simba,Disney,24-Oct-12,12,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1011,2011,3011,1336.79,373.47,-1220.11
Mufassa,Disney,19-Jan-09,13,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1012,2012,3012,148.68,3846.05,-1112.18
Aurora,Disney,12-Jun-60,14,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1013,2013,3013,343.45,4806.74,-169.44
Peter,Pan,29-May-87,15,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1014,2014,3014,41.62,2252.52,-1137.78
Woody,Disney,2-Apr-95,16,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1015,2015,3015,258.06,2429.23,-1005.79
Buzz,Lightyear,12-Mar-63,17,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1016,2016,3016,629.61,33.53,-1215.99
Jafar,Aladdin,20-Jan-83,18,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1017,2017,3017,518.07,2220.54,-406.48
Ursela,Mermaid,30-Jun-00,19,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1018,2018,3018,1333.17,1503.63,-1147.68
Beast,Disney,16-Aug-98,20,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1019,2019,3019,1849.03,4398.81,-160.2
Belle,Disney,5-Oct-54,21,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1020,2020,3020,517.81,2434.75,-1024.19
Cruella,De Vil,10-Mar-62,22,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1021,2021,3021,1132.61,4261.53,-319.71
Scar,Lion,29-Jul-29,23,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1022,2022,3022,941.51,4326.32,-140.99
Simba,King,21-Dec-35,24,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1023,2023,3023,1472.05,1684.46,-1863.46
Gaston,Disney,11-Aug-09,25,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1024,2024,3024,168.24,994.47,-1264.11
Shere,Khan,21-Nov-91,26,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1025,2025,3025,688.77,1735.62,-115.92
Captaiin,Hook,12-May-01,27,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1026,2026,3026,369.27,3295.28,-1813.88
Kaa,Disney,22-Feb-69,28,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1027,2027,3027,928.76,423.8,-864.26
Evil,Queen,19-Dec-42,29,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1028,2028,3028,238.09,4844.83,-367.09
Pinocchio,Disney,20-Mar-08,30,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1029,2029,3029,1280.77,1412.45,-14.76
Prince,Eric,10-Feb-05,31,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1030,2030,3030,1250.24,4505.0,-1413.12
Quasimodo,Disney,17-Sep-71,32,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1031,2031,3031,483.57,2302.79,-1454.15
Hercules,Disney,30-Jun-66,33,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1032,2032,3032,1270.03,1388.27,-1855.19
Mulan,Disney,14-Oct-79,34,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1033,2033,3033,1774.26,1216.15,-397.68
Lilo,Disney,19-Jul-44,35,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1034,2034,3034,1763.47,1942.89,-1715.37
Stitch,Disney,3-Feb-28,36,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1035,2035,3035,387.32,4919.61,-16.87
Alberto,Miranda,5-Oct-38,37,"500 W. University Ave, El Paso, TX 79968",(915) 747-5000,1036,2036,3036,474.59,3710.89,-150.6
Alex,Avila,19-Oct-65,38,"500 W. University Ave, El Paso, TX 79968",(915) 747-5001,1037,2037,3037,85.09,516.33,-1827.58
Alfonso,Beltran,13-Mar-01,39,"500 W. University Ave, El Paso, TX 79968",(915) 747-5002,1038,2038,3038,474.39,3447.36,-866.29
Alfredo,Rodriguez,14-Feb-02,40,"500 W. University Ave, El Paso, TX 79968",(915) 747-5003,1039,2039,3039,1772.98,3443.94,-1734.35
Alyssandra,Cordero,30-Aug-32,41,"500 W. University Ave, El Paso, TX 79968",(915) 747-5004,1040,2040,3040,1169.49,1375.06,-1725.64
Anthony,Jasso,8-Dec-44,42,"500 W. University Ave, El Paso, TX 79968",(915) 747-5005,1041,2041,3041,661.74,547.41,-530.31
Arae,Zarzosa,20-Sep-14,43,"500 W. University Ave, El Paso, TX 79968",(915) 747-5006,1042,2042,3042,1994.56,4248.79,-268.92
Brandon,Bustamante,17-Oct-53,44,"500 W. University Ave, El Paso, TX 79968",(915) 747-5007,1043,2043,3043,355.39,3764.74,-1452.54
